0,1,2,3,4,5,6,7,8
B11090483140,_ЁРазработка распределенного программного обеспечения для решения задачи оптимизации функции методом Монте-Карло,"_ЁВ настоящее время актуальна задача повышения производительности вычислительных систем при решении задачи оптимизации функций. Наиболее простым и доступным способом ускорения вычислений является использование вычислительных мощностей нескольких взаимосвязанных компьютеров. Понятно, что максимальное увеличение производительности может быть достигнуто только при решении хорошо распараллеливаемых задач, обладающих свойством аддитивности, в частности, при решении вычислительной задачи нахождения локального оптимума функции. Целью данной работы является разработка программных средств, позволяющих решать задачу нахождения локального оптимума функции, применяя несколько вычислительных устройств, представляющих собой распределенную вычислительную систему",_Ёраспределенные вычисления\_Ёчисленные методы\оптимизация функций\параллельные вычисления\распределенные системы,e8\e1,13Д\01Б,50.07.05\50.05.17,502.07.05.03\509.05.17.21,###
B11158517231,Методы имитационного моделирования популяций лесных насекомых,В рамках созданной автором компьютерной программы моделирования динамики численности лесных хвоегрызущих насекомых представлены методы верификации структуры моделей и подбора параметров,вредители леса\динамика численности\математическая модель\математические модели,e3,04И9\04А3,34.03.23\34.33.19,341.03.23.13.11\341.33.19.53.85.07.09.02,###
B11172463100,Пассивный водородный мазер _- часы будущего поколения спутников ГЛОНАСС,"В рамках программы ГЛОНАСС компанией _1Время-Ч_2 были разработаны новые атомные часы. В статье обсуждаются особенности конструкции и результаты наземного тестирования этого бортового пассивного водородного стандарта частоты. Полученная кратковременная нестабильность частоты 7~x10{_-13} за секунду, равно как и долговременная стабильность частоты 5~x10{_-15} за сутки, позволят в ближайшее время улучшить основанные на системе ГЛОНАСС определение местоположения и синхронизацию времени.",ГЛОНАСС\водородные мазеры\водородные стандарты частоты\спутниковая навигационная система ГЛОНАСС\спутниковые навигационные системы\стандарты частоты\часы\шкалы времени,e2\e1,52\32,36.16.03\36.16.35\90.27.33,361.16.03.15.19\361.16.35.15.15\901.27.33,###
B11172463593,"Работа метрологического пункта ФГУП ""СНИИМ""","Приведены сведения о состоянии дел в метрологическом пункте ФГУП _1СНИИМ_2 по осуществлению государственной службы времени, частоты и определению параметров вращения Земли. Подведены итоги мероприятий по модернизации эталонного комплекса ВЭТ1-19. Показано участие коллектива службы по совершенствованию и поддержанию отечественной навигационной системы ГЛОНАСС.","Государственная служба времени, частоты\Сибирский научно-исследовательский институт метрологии\ФГУП ""СНИИМ""\институты\метрологическая служба\метрологические организации\метрологическое обеспечение\метрология\модернизация эталонного комплекса\спутниковая навигационная система ГЛОНАСС",e2\e1,52\32,36.01.21\90.21.05,361.01.21.15\901.21.05,###
B11172463755,"Структура пункта метрологического контроля ГСВЧ Восточно-Сибирского филиала ФГУП ""ВНИИФТРИ"" в части определения ПВЗ спутниковыми методами","Приведено описание пункта метрологического контроля Восточно-Сибирского филиала, входящего в состав государственной системы определения параметров вращения Земли. На пункте выполняются работы по получению в режиме непрерывных наблюдений данных с прие~J:мников, мониторинг качества наблюдений, контроль за временны~J1ми сдвигами между шкалами прие~J:мников и водородного стандарта частоты.","Государственная служба времени и частоты\ФГУП ""ВНИИФТРИ""\метрологическая служба\метрологические организации\метрологическое обеспечение\метрология\параметры вращения Земли\спутниковые навигационные системы",e2\e1,52\32,36.01.21\90.21.05,361.01.21.15\901.21.05,###
B11172463828,Особенности метрологического обеспечения перспективных космических картографических комплексов,Рассмотрен типовой состав современных и перспективных космических картографических комплексов (ККК). Выполнены классификация инструментария ККК как средств измерений и анализ нормативного обеспечения и практики метрологического обеспечения зарубежных ККК. Обоснована применимость российских метрологических требований к ККК. Рассмотрены особенности и перспективы метрологического обеспечения современных и перспективных российских ККК,дистанционное зондирование\картографирование\картографические компоненты\метрологическое обеспечение\съемка космическая,e2\e1,52\24В,36.23.21\47.49.27,361.23.21.27\473.49.27,###
B111888071113,Зараженность скальных ящериц Darevskia caucasica и D. rudis гемогрегаринами Karyolysus sp. в Северной Осетии,"Зараженность D. rudis изучали в 2 относительно изолированных популяциях из Архонского и Бадского ущелий. Все изученные популяции D. caucasica экстенсивно (до 90%) и интенсивно (до 3-4 паразитов в поле зрения) заражены Karyolysus sp. (Apicomplexa, Coccidiida, Adeleidae). Но в разных популяциях морфология кровяных стадий существенно различается особенностями их воздействия на клетку хозяина. Установлено, что D. rudis заражены столь же сильно и той же морфой паразитов, что и совместно с ними обитающие D. caucasica. Это наиболее распространенная форма Karyolysus, описанная как L. lacerate. Выявлены тканевые стадии паразитов на парафиновых срезах внутренних органов ящериц, у которых найдены эритроцитарные гамонты. Более всего поражается эндотелий сосудов легких, затем печени, менее всего почек",Darevskia (Rept.)\Karyolysus (Prot.)\Северная Осетия\грегарины\диагностика\инвазивность\хозяева,e3\e4,04И9\07Д\04И11,34.33.23\34.33.27\39.19.25,341.33.23.15.15.11.13\341.33.27.17.17.33\391.19.25.31,###
B1121024149,К фауне цестод волка (Canis lupus L.) дельты Волги,"Мировая фауна цестод, окончательным хозяином которых является волк, насчитывает 29 видов. В дельте Волги волк является окончательным хозяином 7 видов цестод _- Diphyllobothrium latum, Spirometra erinacei-europaei, Dipylidium caninum, Taenia hydatigena, Taenia pisiformis, Taenia sp. и Multiceps multiceps. Все эти виды цестод являются патогенными для многих видов животных, а также и для человека",Canis lupus (Mamm.)\видовое разнообразие\волк\волки\дельта Волги\инвазивность\паразитофауна\фауна\цестоды,e3\e4,04И9\07Д\36\04И11,34.33.23\34.33.27\39.19.25\39.25.15,341.33.23.17.09.11\341.33.27.21.33.21.19\391.19.25.31\391.25.15.17.25,###
B11219494694,"Патологоанатомическая диагностика эхинококкоза, цистицеркоза косули и марала в Горном Алтае","Эхинококкоз и цистицеркоз регистрируется у сибирской косули и марала во время миграции в Горном Алтае. Представлена дифференциальная диагностика, патоморфологическая характеристика и локализация данных заболеваний",Горный Алтай\болезни млекопитающих\диагностика\копытные\косуля\марал\патогенез\цестоды\цистицеркоз\цистицеркозы\эхинококкоз\эхинококкозы,e3\e4,04И9\36\04И11,34.33.23\34.33.27\39.25.15,341.33.23.17.09.21\341.33.27.21.33.21.19\391.25.15.17.25,###
B1129554953,Разработка снегоуборочной машины,"Описываемые бытовые машины для сборки снега представляют собой шнековый механизм с отводом убираемого снега. Привод механизма может осуществляться как от ДВС, так и от электродвигателей малой мощности",бытовые\снегоуборочные машины\шнековые,e9\f3,33\83,55.55.31\87.03.15,551.55.31.31\873.03.15.25.23,###
B11389705130,Апофаллез и россикотремоз _- гельминтозы рыб Волгоградского водохранилища в пределах Саратовской области,"Установлена значительная инвазия рыб в условиях водохранилища, возбудителей аппофалеза и россикотремоза. В настоящее время трематоды A. muehlingi и R. donicum являются одним из ведущих компонентов паразитоценозов Волгоградского водохранилища в пределах Саратовской области. Для них характерен триксенный тип жизненного цикла со сменой в онтогенезе паразитических и свободноживущих стадий. Развитие очага гельминтов обусловлено благоприятными климатическими и гидрологическими условиями, сложившимися в последние годы в Саратовской области. Высокая температура воды и воздуха, высокая инсоляция, обширные мелководные и заросшие площади реки, способствуют увеличению численности паразитических ракообразных за счет увеличения числа генераций и ускорения циклов развития. При этом создается опасность для водоемов, имеющих рыбохозяйственное значение. Т.е. Волгоградское водохранилище является резервуаром гельминтозов рыб, способных приводить к экономическому ущербу в культурном рыбоводстве",Саратовская область\водохранилища\доминирующие виды\инвазивность\паразитофауна\рыбы\трематоды,e3\e4,04И9\07Д\04И4,34.33.23\34.33.33\39.19.25,341.33.23.09.09\341.33.33.29.11.27\391.19.25.31,###
B11389705203,Ихтиопатологический мониторинг морских рыб,"Методом полного паразитологического вскрытия исследовано 56 экз. 5 видов морских рыб (сельдь, путассу, минтай, скумбрия, навага) в замороженном виде в количестве 5-10 экз. каждого вида. Установлено, что зараженность рыб личинками анизакид оказалась достаточно высокой, в основном, они локализовались в полости тела. Экстенсивность инвазии наименьшей была у наваги (20%), а у сельди достигала 100%. Интенсивность инвазии колебалась от 2 до 43 экз. В наибольшей степени личинками анизакди были поражены путассу (ИИ 43 экз.) и сельдь (ИИ 18 экз.), менее поражены навага, скумбрия, минтай. Все обнаруженные личинки были нежизнеспособными. Личинки анизакид стойки к низким температурам, охлаждение рыбы до -4_0С длительное время не вызывает их гибели. При слабом плюсе сельди и охлаждении до -3_0С они остаются живыми около 1 мес., например, в кальмаре они гибнут только при температуре -20_0С в течение 24 ч. Заражение анизакидами возникает в случае попадания в организм человека живых личинок вместе с мясом рыбы, моллюсков и ракообразных, употребляемых в сыром, слабосоленом, копченом, непроваренном, непрожаренном виде. Заболеваемость анизакидозом у населения отмечена во всех зоогеографических областях мирового океана. Случаи заражения анизакидозом обнаружены и в России. При употреблении в пищу свежевыловленной, слабосоленой, вяленой или копченой в домашних условиях рыбы, возникает опасность заболевания анизакидозом. Современная диагностика его осложнена тем, что патологические проявления инвазии в ранней стадии не специфичны и трудно дифференцируются от других проявлений заболеваний органов пищеварения. Лабораторная диагностика обычно у людей не проводится и заболевание проходит под другими диагнозом. В связи с этим, основной мерой профилактики является соблюдение технологии переработки рыбы и рыбной продукции",Казахстан\анизакидоз\болезни рыб\диагностика\инвазивность\нематоды\оценка риска для человека\патогенез\рыбы,e3\e4,04И9\07Д\36\04И4,34.33.23\34.33.33\39.19.25\39.25.15,341.33.23.17.15.21\341.33.33.29.11.27\391.19.25.31\391.25.15.17.25,###
B1156599628,Прогнозирование подвода грузов к портам,"Исследования показали, что основные задержки экспортных грузопотоков приходятся на участки железных дорог. Выявлено, что на величину сверхнормативных простоев оказывают влияние непараллельность графика, неидентичность перегонов, тип графика и коэффициент заполнения пропускной способности участка. Путем построения вариантных графиков движения поездов была определена продолжительность нахождения грузопотоков в подсистеме участки при различных исходных данных. Степень влияния, на время нахождения на участке выражена увеличивающим коэффициентом _a, который показывает, во сколько раз увеличивается нормативное время нахождения на участках железных дорог в зависимости от различных исходных данных. Разработанная методика определения времени нахождения экспортного грузопотока на транспортных направлениях, в зависимости от различных факторов позволяет улучшить прогноз подвода экспортных и перевалочных грузов на 17%",Россия\грузы\деятельность компаний\организация подвоза грузов к портам\порты\прогнозирование\система прогнозирования подвоза грузов к портам\транспорт\экономическая эффективность\эффективность,f4\f8,05Б\20У,73.34.01\73.34.21,732.34.01.75.25\733.34.21.15,###
B11629498770,Изучение реологических свойств дисперсных систем,Целью данной работы является отработка методики определения вязкостиводно-глицериновых смесей вискозиметрическим методом,вода\водно-глицериновые смеси\глицерин\дисперсии\оценка реологических свойств\реологические свойства\смеси,e5\f7,10Д\19С,31.25.15\52.45.19,311.25.15.17\524.45.19.09,###
B11637539154,Эпизоотическая ситуация по трематодозам рыб в Саратовской области,"В условиях водохранилища и прудовых хозяйств, установлена значительная степень зараженности рыб возбудителем диплостомоза, постодиплостомоза, параценогонимоза и клиностомоза. В естественном водоеме выявлены патогенные виды трематод Apophallns muehlingi и Rossicotrema donicum. Эпидемиологическое значение среди зарегистрированных трематод имеет только семейство Opisthorchidae, так как половозрелые гельминты паразитируют у человека и плотоядных животных. Обследование рыб показало, что основными источниками гельминтозоонозов являются красноперка, линь и лещ. Исследования гельминтофауны речных и прудовых рыб, а также точный количественный учет паразитов позволили нам выявить общую эпизоотическую ситуацию в Саратовской области по трематодозам рыб. Россия, ФГБОУ ВПО ""Саратовский ГАУ"", г. Саратов",Саратовская область\мониторинг\распространение\трематодозы\трематоды\эпидемиологическая ситуация,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.17.11.21\391.25.15.17.25,###
B117103763662,"Создание автоматизированной системы управления морским подвижным объектом в неоднородной среде в режиме ""без хода""","Основной целью является проведение исследований в области многоагентных систем с целью дальнейшей доработки стенда-тренажера с применением агентного подхода в управлении техническими средствами. Создание алгоритмов автоматического управления техническими средствами в задачах перехода по глубине с оптимальностью относительно величин параметров быстродействия и расхода энергии. Для этого произведены исследования в области теории управления, в частности, принципа максимума Понтрягина, как наиболее подходящей теоремы для решения задач подобного рода, и на основе проведенных исследований осуществлена разработка механизма оптимального автоматического управления морскими подвижными объектами (МПО)","АСУ\АСУ морскими подвижными объектами в неоднородной среде в режиме ""без хода""\исследования\морские подвижные объекты\научная сессия\суда",f4\f9,05Б\ЕЕ,73.34.35,733.34.35.01.99,###
B1171037640X,"Расчетное моделирование нейтронного детектора гамма-телескопа ""ГАММА-400""","Сообщается о расчете характеристик различных моделей нейтронного детектора, предназначенного для идентификации частиц в гамма-телескопе ""ГАММА-400"", с помощью пакета программ Geant4, а также о рассмотрении различных вариантов его конструкции",гамма-телескопы\детекторы ионизирующих излучений\детекторы нейтронов\конструкция\модели\моделирование\нейтронное излучение\телескопы гамма-диапазона,e2\e1,51\32,41.51.31\90.27.38,411.51.31.19\901.27.38.37,###
B1179829X810,"Обеспечение информационной безопасности в ситуационном центре автоматизированной системы АПК ""Безопасный город""","Описана организация защиты информации в ситуационном центре АС АПК ""Безопасный город"". Предлагаемая архитектура позволяет наиболее оптимально обеспечить защиту информации от хищения, уничтожения, искажения, нарушения доступности в ситуационном центре АС АПК ""Безопасный город""","автоматизированная система АПК ""Безопасный город""\информационная безопасность\конференции\обеспечение\ситуационные центры",f4\f3,98\83,81.93.29\87.03.15,815.93.29\873.03.15.01.29,###
B11799954149,Генератор СВЧ-колебаний в диапазоне от 1 до 4__ГГц,"Цель работы _- создание СВЧ-генератора для проведения исследований влияния электромагнитных колебаний на биологические системы (речь, в частности, идет о влиянии сотовой связи и изучении экранирующих свойств покрытий, сформированных с использованием нанотрубок). Генератор должен иметь простое, сравнительно недорогое схемное решение, малые габариты, низкое энергопотребление",СВЧ-техника\воздействие на биологические системы\генераторы\излучение радиоволн\нанотрубки\схемные решения\экранирование\электромагнитные установки\электротехнология,f9\f5\e1,21АН\24А\32\18Ж,29.35.23\45.53.35\47.45.99\90.01.85,291.35.23.15.35\451.53.35.29.33\473.45.99\901.01.85.29,###
B1180104560,Изменение морфометрических показателей пчел в условиях дискретного воздействия ЭМП промышленной частоты,"Изучали изменения экстерьерных признаков пчел при действии низкоамплитудных электрических полей (ЭМП). Показано, что действие ЭМП низкой напряженности практически не оказывало влияние на исследуемые признаки. Следует отметить достоверные отличия от контрольной группы семей величины кубитального индекса, к-рый является признаком породной принадлежности пчел",медоносная пчела\морфологические признаки\электромагнитные поля\эффективность,e3,04И9,34.33.19,341.33.19.49.15.07,###
B118398752080,Разработка сорбентов методом механохимической активации глауконитового песка,"Проведены исследования по разработке сорбентов механохимической активацией глауконитового песка в присутствии кислой соли NaH[2]PO[4] и исследована их сорбционная активность по отношению к ионам марганца из водных растворов в статических условиях. В качестве исходного сырья для получения модифицированных сорбентов был использован глауконитовый песок Сарыбайского месторождения (Казахстан). Глауконитовый песок с добавкой дигидрофосфата натрия при различных соотношениях подвергался механохимической обработке. Соотношения глауконитового песка и NaH[2]PO[4] были взяты: 1:1, 1:2, 1:3 и 1:4 соответственно. Механохимическая активация проводилась в трех барабанной планетарно-центробежной мельнице. Изучено влияние времени, соотношения глауконитовый песок:NaH[2]PO[4], концентрации исходного раствора. Данные сорбционных исследований показали, что максимальной емкостью по отношению к иону марганца обладает сорбент с отношением глауконитовый песок:NaH[2]PO[4]=4:1. Максимальная степень сорбции данного сорбента достигает 96%","активация\гидро-, присутствие\глауконит\из водных растворов\марганец\механохимическая\натрий\пески\сорбционная способность\сорбция\фосфаты",f7\e5,19Л\08Н,38.51.19\61.31.57,383.51.19.29\611.31.57,###
B11864306223,Распространенность моллюсков сем. Bithyniidae и их зараженность описторхами в водоемах Республики Коми,"Одна из важных эпидемиологических проблем - зараженность населения описторхозом. В р. Сысола зараженные моллюски найдены в нижнем течении, их численность снижается в реке до с. Визинга, где обнаружены единичные экземпляры. Моллюски, зараженные трематодами сем. Opisthorchidae, установлены в двух водоемах Усть-Куломского р-на. Россия, Сыктывкарский государственный университет. Г. Сыктывкар",Bithyniidae (Moll.)\Республика Коми\описторхоз\промежуточные хозяева\распространение\трематоды\эпидемиологическая сутитуация,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.17.11.21\391.25.15.17.25,###
B118940781666,Исследование процессов пайки по плоскости для современного радиоэлектронного производства,"В рамках проведенной работы на технологической площадке ОАО _5Ярославский радиозавод_6 были рассмотрены несколько видов пайки по плоскости: традиционные (на подогревном столе, в конвекционной печи) и альтернативные (в разряженной среде). Последним было уделено повышенное внимание, как наиболее перспективным. Для анализа использовали микрополосковые поликоровые платы с золотым экраном и металлич. основания из титана марки ВТ1-0. Монтаж выполняли припоем ПОИн-52 с флюсом ФКСп несколькими методами. Контроль качества пайки осуществляли методом рентгеновской дефектоскопии на импортной установке. Получены данные, позволившие разработать предложения по доработке альтернативного метода пайки по поверхности с использованием простых технол. приспособлений, которые позволяют существенно снизить уровень непропая, обеспечить возможность наблюдения и коррекции процесса пайки, используя достижения современных вакуумных способов и не прибегая при этом к приобретению дорогостоящих вакуумных установок",Россия\методы исследования\пайка\пайка на плоскости\пайка по плоскости\производство РЭА\радиоэлектроника\совершенствование\технологические процессы,f1\e1,63\24Е,47.13.15\81.35.31,473.13.15.03\812.35.31.14,###
B11918058176,Клиностомоз пресноводных рыб в Саратовской области,"В условиях водохранилища и прудовых хозяйств, установлена значительная степень зараженности рыб возбудителем клиностомоза. Из-за короткого цикла развития (менее 2 мес.) гельминт требует к себе пристального внимания (т.е. проведения плановых ихтиопатологических исследований). При возникновении условий, благоприятных для развития паразита, может возникнуть вспышка заболевания. Также существует реальная опасность распространения клиностомоза в рыбохозяйственные водоемы области. Россия, Саратовскй государственный аграрный университет им. Н.И.Вавилова, г. Саратов.",Саратовская область\инвазивность\клиностомоз\пресноводные рыбы\распространение\трематоды,e3,04И9,34.33.23,341.33.23.17.11.21,###
B11918058249,Динамика распространения описторхид в Саратовской области,"Установлено распространение двух видов описторхид в Саратовской области. Обнаружен биотоп обитания моллюсков рода Codiella в Мечетском водохранилище. Проводится мониторинг этого водоема и выявление других составляющих смешанного очага описторхоза. Россия, Саратовский государственный аграрный университет им. н.И. Вавилова, Саратов",Саратовская область\инвазивность\мониторинг\описторхоз\распространение\трематоды,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.17.11.21\391.25.15.17.25,###
B1191805832,К вопросу о роли листогрызущих насекомых в ослаблении дубрав,"В результате проведенного анализа сделан вывод, что одной из главных причин постоянного ухудшения дубрав явилась систематическая дефолиация крон деревьев листогрызущими насекомыми. Россия, Саратовский государственный аграрный университет им. Н.И. Вавилова, Саратов",Саратовская область\вредители древесных пород\дубравы\ослабление\филофаги,e3,04И9,34.33.19,341.33.19.53.85.07.27.19,###
B11921733121,Биоразнообразие и закономерности пространственного распространения прямокрылых (Orthoptera) в соответствии с ботанико-географическим районированием территории Республики Татарстан,"Фауна прямокрылых Татарстана неоднородна по своему составу и носит переходный характер, что обусловлено спецификой зонального расположения республики. Анализ распространения прямокрылых в пределах республики позволяет выявить эффективность фаунистических границ, что является реальной основой для фаунистического районирования территории. В свою очередь, предлагаемая схема фаунистического районирования, позволяет прогнозировать состав видов в любой точке рассматриваемой территории и в соседних регионах. Картирование, экстраполяция границы ареалов, классификация видов по формам ареалов позволяет составить прогноз распространения отдельных видов ортоптероидов. Также характер распространения некоторых видов-индикаторов позволил выявить рубежи, препятствующие их расселению в южном и северном направлениях. Анализ распространения прямокрылых с позиций ботанико-географического районирования в очередной раз подтверждает, что распространение каждого вида Orthoptera можно объяснить природными условиями. Накопление значительной информации по экологии, биологии, современному географическому распространению прямокрылых во всех основных природных зонах европейской части России и ближнего зарубежья в сопоставлении с палеонтологическими данными необходимо для понимания целостной картины закономерностей формирования фауны и протекания процессов фауногенеза, определения возраста становления фауны ортоптероидов Палеарктики и реконструкции истории ареалов отдельных таксонов. Все различия, отражающиеся, в том числе, и на прямокрылых, индуцируются вариабельностью климатических и ландшафтных условий во временном аспекте.",Orthoptera\Республика Татарстан\ботаническое районирование\видовое разнообразие\зоогеография\фауна,e3,04И9,34.33.19,341.33.19.29.11.11.21,###
