0,1,2,3,4,5,6,7,8
B10789556417,Ледокольные взрывные работы в борьбе с заторами на северных реках России,"На земном шаре Россия больше всех страдает от таких опасных природных явлений, как заторы льда на реках. Угроза наводнений в России существует более чем для 700 городов и нескольких тысяч других населенных пунктов. Площадь пойменных земель, периодически затопляемых речными и озерными водами, составляет в сумме около 0,4__млн км{2}. Основными причинами такой ситуации являются географическое расположение страны на севере Евразии, холодный климат, а также преимущественно северное направление течения большинства российских рек. Описана разработанная коллективом кафедры инженерной защиты населения и территорий Академии гражданской защиты МЧС России методика расчета зарядов ВВ для разрушения ледяного покрова на реках, учитывающая разнообразие влияющих на проведение работ характеристик и условий в интересах предупреждения и ликвидации ЧС, которая является достойным дополнением в развитии ледокольных взрывных работ, а также теории В",взрывные работы ледокольные\заторы\конференции\реки\северные,f4\f3,98\83,81.93.21\87.33.31,815.93.21.17\873.33.31.99,###
B10834039372X,От кристаллографии лигандов к рациональному дизайну лекарств,"Авторы усовершенствовали свое программное обеспечение для поиска лекарств на основе структурной информации. Программа выявляет потенциальные лекарства-кандидаты, которые могут, по крайней мере в одной из возможных конформаций, связываться с целевой мишенью. Также при расчетах учитываются заряды атомов для сохранения выгодных контактов обеспечивая при этом возможность для новых взаимодействий с целевым белком. База данных из 8 миллионов соединений-кандидатов анализируется в течение 2-х часов на однопроцессорном настольном компьютере. Разработанный подход был использован для поиска новых ингибиторов бета-лактамаз, которые в большинстве случаев ответственны за механизм устойчивости к антибиотикам внутрибольничных бактериальных штаммов. Создали эффективную систему экспрессии рекомбинантной бета-лактамазы класса А ТЕМ-1 в клетках E.coli для изучения в условиях in vitro/in vivo. Германия, European Molecular Biology Laboratory (EMBL), c/j DESY, Notkestrasse 85, 22603 Hamburg",компьютерное моделирование\лекарственные средства\лиганды\разработка,e3,04Р1\04Т6\04Б3,62.01.77\62.37.99,621.01.77\621.37.99.07.99,###
B109807522303,Эффективность нейрометаболической терапии кортексином при тяжелом течении ишемического инсульта,"Показано, что включение нейротрофической терапии кортексином в комплексное лечение ишемического инсульта способствует улучшению исхода заболевания с более полным восстановлением двигательных и речевых функций",больные\ишемический инсульт\кортексин\эффективность применения,e3,04Т6,76.31.29,761.31.29.11.35.09,###
B11112592133,"Факторы, влияющие на чувствительность иксодовых клещей (Acari: Ixodidae) к репелленту ДЭТА","Установлено, что наиболее устойчивыми к ДЭТА оказались зараженные клещи IV возраста, но даже им не удалось пересечь барьер с 10% ДЭТА. Вероятно, 20%-ной концентрации ДЭТА в коммерческих репеллентах достаточно, чтобы защитить людей и животных, как от неинфицированных, так и от зараженных иксодовых клещей. С другой стороны, при снижении концентрации ДЭТА (например, при выветривании или смывании репеллента) вероятность нападения зараженного клеща будет выше. Этот факт является веским основанием для тщательного следования инструкции по применению репеллентов и своевременной повторной обработки. Полученные данные указывают на то, что леса в европейской части России более опасны осенью во второй пик активности клещей I. ricinus в связи с увеличением в популяции клещей IV возраста",Ixodidae (Acar.)\ДЭТА\возраст\инсектициды\регуляция численности\резистентность,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.19.05.11.09.07.15\391.25.15.17.25,###
B11112592141,Динамика расселения гельминтов в новых ареалах в связи с особенностями их жизненных циклов,"В первоначальном более раннем осуществлении полного жизненного цикла в дельте Волги трематод Apophallus muehlingi и Rossicotrema donicum сыграло свою роль присутствие в жизненном цикле перелетных птиц в отличие от Nicolla skrjabini, в цикле которой присутствуют только водные животные. В дальнейшем при расселении в новом ареале преимущества первых видов проявляются в большей мобильности и размерах вторых промежуточных хозяев, что влияет на зараженность окончательных хозяев",дельта Волги\распределение по территории\распространение\трематоды\циклы развития,e3\e4,04И9\07Д\36,34.33.23\39.19.25\39.25.15,341.33.23.17.11.13\391.19.25.31\391.25.15.17.25,###
B11112592168,Патогены морской и озерно-лагунной экоформ тихоокеанской сельди,"У корфо-карагинской сельди комплексом различных методов были выявлены 19 инфекционных и инвазионных агентов. У вилюйской сельди их было лишь семь. В формировании эндопаразитофауны морских рыб большую роль играют экологические факторы. Наличие тех или иных паразитов у рыб обусловливается особенностями их питания и мест обитания. Сельдь морской экологической формы всю жизнь проводит в соленой воде, придерживаясь прибрежной зоны и нередко совершая в ее пределах довольно протяженные миграции. Типичные озерные сельди зимуют в солоноватоводных водоемах, а на нагул откочевывают в близлежащие водные пространства. Озеро Большой Вилюй, несмоненно, представляет собой более замкнутую экосистему по сравнению с местами обитания корфо-карагинской тихоокеанской сельди, что, по-видимому, является основной причиной такого богатого видового состава патогенов последней",Камчатка\видовое разнообразие\вилюйская сельдь\доминирующие виды\инвазивность\паразитофауна\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592206,Иксодовые клещи и их прокормители в черте города Воронежа,"После аномально жаркого лета 2010 г. и сопровождавших его лесных пожаров в рекреационной зоне г. Воронежа отмечена концентрация клещей. По-видимому, в некоторых случаях условия современных городов могут оказываться более благоприятными для клещей в сравнении с природными биотопами. Численность иксодовых клещей, как и прокормителей их личинок, нимф и имаго, испытывает в окрестностях г. Воронеж периодические колебания. На фоне циклического спада численности прокормителей наблюдается последующий спад численности иксодид, который следует с годичным отставанием. Уменьшение численности несинантропных прокормителей личинок и нимф приводит к существенному увеличению интенсивности и экстенсивности инфестаций синантропных и полусинантропных видов грызунов. Проникновение ряда видов грызунов и иксодовых клещей в корестности г. Воронежа происходит за счет интенсивного освоения естественных ценозов и расширения рекреационной зоны, прекрывающейся с естественными биотопами эктопаразитов и их хозяев",Ixodidae (Acar.)\Воронежская область\динамика численности\доминирующие виды\мониторинг\фауна,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.19.05.11.09.07.09\391.25.15.17.25,###
B1111259224,Изучение трематодофауны инвазивных видов моллюсков на территории Беларуси,"В результате проведенных исследований и анализа литературных данных в водоемах Беларуси у инвазивных видов моллюсков выявлено как минимум 14 представителей класса Trematoda: y D. рolymorpha _- Phyllodistomum folium, Bucephallus polymorphus, Aspidogaster sp., а также метацеркарии Echinoparyphium recurvatum/E. pseudorecurvatum и Neoacanthopаryphium echinatoides; y Lithoglyphus naticoides _- Sphaerostoma bramae, Palaeorchis sp., Apophallus donicum, A. muehlingi, Nicola skrjabini и Microphallidae gen. sp.; y Physella acuta _- метацеркарии тетракотилидного и плагиорхидного типов. Впервые на территории Беларуси у D. polymorpha отмечены метацеркарии N. echinatoides и y L. naticoides представитель семейства Microphallidae",Республика Беларусь\видовое разнообразие\диагностика\пресноводные моллюски\таксономия\трематоды\фауна\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.17.11.09\391.19.25.31,###
B11112592249,Современные сведения о паразитофауне антарктического клыкача Dissostichus mawsoni и других рыб при ярусном промысле рыб в Антарктике,"В ходе исследований не было выявлено различий в видовом составе паразитов у рыб, выловленных на больших расстояниях друг от друга _- например в северной части моря Росса и около острова Бувэ, что можно объяснить гомогенностью антарктической экосистемы, которая неразрывна на всей площади Южного океана. Найдено 11 из 46 видов гельминтов, известных для этого региона, 7 видов эктопаразитов, а также несколько новых видов",Антарктида\антарктический клыкач\видовое разнообразие\доминирующие виды\инвазивность\паразитофауна\распространение\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592265,"Паразиты рыб, обитающих в озерах и реках Беларуси","Из обнаруженных паразитов наиболее распространенными являются трематоды Diplostomum sp., встречающиеся как у мирных, так и у хищных рыб практически во всех обследованных водоемах. Для них характерна наиболее высокая интенсивность (до 174 экз.) и экстенсивность (до 100%) инвазии. Высокий уровень инвазии был отмечен также для трематод Tylodelphys conifera и Tylodelphys podicipina. Экстенсивность инвазии также во многих случаях достигала 100%; максимальные значения интенсивности составляли до 114-120 экз.",Республика Беларусь\видовое разнообразие\доминирующие виды\инвазивность\паразитофауна\рыбы\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592281,Количественный анализ сезонной динамики видовой структуры компонентного сообщества паразитов гольяна Phoxinus phoxinus (L.) из реки Печора,"Выявлено новое равновесное состояние сообщества паразитов гольяна, соответствующее зимнему периоду его существования. Рассматриваемая система стабильна в июне при максимальном видовом разнообразии, значительной численности и биомассе паразитов, в августе при минимальных значениях этих показателей, в ноябре, когда хозяин в преддверии зимы заселяется новой генерацией паразитов. Во всех стационарных состояниях у сообщества наблюдается минимальная скорость трансформации видовой структуры",Республика Коми\видовое разнообразие\гольян\доминирующие виды\инвазивность\паразитофауна\река Печора\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592303,Генетическая структура популяций Opisthorchis felineus (Trematoda) и его вторых промежуточных хозяев _- карповых рыб в Обь-Иртышском очаге описторхоза,"Генетическая структура западно-сибирских популяций карповых рыб была изучена с использованием изоферментных маркеров. У плотвы и язя выделяется три группы популяций _- южная (тобольская, включающая реки Тобол, Тура, Иртыш в районе г. Тобольска), центральная (среднее течение Оби, реки Конда, Большой Салым) и северная (река Северная Сосьва), обладающие значительным своеобразием генетической структуры. Сравнение популяционно-генетической структуры паразита с генетической структурой популяций его промежуточных хозяев _- карповых рыб показало, что они не совпадают. Уровень генетической дифференциации паразита намного ниже, чем у карповых рыб. Отсутствие строгих корреляций генетических дистанций паразита и хозяев обнаружено у трематод _- паразитов лягушек. Это несоответствие объясняется разным числом исследованных локусов у паразита и хозяина, разным временем и местом сбора материала, возможной гибридизацией хозяина и несовпадением скоростей белковой эволюции в разных паразито-хозяинных популяционных системах. Можно заключить, что миграции и популяционная структура вторых промежуточных хозяев (рыб) не играет важной роли в формировании популяционно-генетической структуры O. felineus. Возможной причиной низкой дифференциации популяций O. felineus может быть влияние на его генетическую структуру окончательного хозяина _- человека. Вследствие широкой миграции населения и перевозки рыбной продукции создаются условия для потока генов в популяции паразита",взаимодействие паразитов и их хозяев\генетическая изменчивость\инвазивность\карповые рыбы\паразиты\поток генов\структура популяции\хозяева окончательные\хозяева промежуточные,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.11\391.25.15.17.25,###
B1111259232,Личинки трематод пресноводных моллюсков водоемов Беларуси,"В результате исследований зарегистрировано 116 видов и более крупных таксонов трематод из 29 семейств. Из них для 97 видов представлено видовое название, для 8 _- родовая принадлежность, для 7 видов установлена только принадлежность к семейству. Еще 4 вида имеют неясное систематическое положение",Республика Беларусь\диагностика\преимагинальные стадии\пресноводные моллюски\таксономия\трематоды\фауна\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.17.11.09\391.19.25.31,###
B1111259232X,Прогноз паразитологической ситуации в Каспийском море в соответствии с возможными изменениями в экологическом состоянии водоема,"Паразитофауну животных Каспийского моря следует рассматривать как часть ее гидрофауны, которая вследствие длительного, в геологическом отношении, отбирающего воздействия природных факторов превратилась в относительно стабильную, саморегулирующуюся системы, состоящую преимущественно из пресноводных и эвригалинных морских видов и сохраняющую свою целостность даже при значительном изменении естественных условий окружающей среды. В будущем изменения уровня Каспия, степени минерализации воды в отдельных его районах, а также умеренное загрязнение, проведение каналов, развитие судоходства, рыболовства и рыбоводства могут привести к изменению численности паразитов в отдельных районах моря, появлению небольшого числа новых для фауны видов, которые в условиях обедненной аборигенной морской фауны могут легко прижиться здесь и достичь большой численности, а также переселению каспийских видов в другие водоемы",Каспийское море\видовое разнообразие\доминирующие виды\инвазивность\морские животные\паразитофауна,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.17\391.19.25.31,###
B11112592370,Итоги изучения фауны паразитов рыб Баренцева моря и сопредельных вод,"Установлено, что в паразитофауне баренцевоморских рыб присутствуют лишь элементы эпипелагической и батипелагической группировок. Можно считать этих паразитов случайными в баренцевоморских водах, за исключением узкоспецифичных паразитов северного макруруса и черного палтуса, которые являются постоянными членами ихтиофауны района. Истинно солоноватоводные паразиты образуют представительную (11,2%) группу в опресненном Белом море и, вероятно, являются здесь наиболее древней группой, как и их хозяева. В Баренцевом море эта группа представлена слабо (3%), поскольку опресненные зоны здесь не так значительны, а в шельфовом Северном море отмечены лишь следы рассматриваемой группы (0,9%). Паразиты, адаптированные к условиям литорали, присутствуют только в Баренцевом (2,5%) и Северном (0,6%) морях. Эти адаптации шли параллельно с их хозяевами, в силу чего все они узкоспецифичны",Баренцево море\видовое разнообразие\доминирующие виды\инвазивность\паразитофауна\рыбы\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592397,Мониторинг лигулидозной инвазии младших возрастных групп леща и воблы в Волго-Каспийском регионе,"Установлено, что совокупное воздействие разного рода факторов в Волго-Каспийском регионе может способствовать резкому увеличению лигулидозной инвазии. Однако специфика развития ремнецов и особенности большого по размеру водоема неизбежно сводят все проводимые исследования исключительно в рамки мониторинга. Применение мер профилактики и борьбы, основанные на прерывании жизненного цикла паразита путем отпугивания рыбоядных птиц или массового вылова зараженной рыбы, ввиду больших затрат становится практически невозможным",Ligulidae (Cest.)\Волго-Каспийский регион\вобла\доминирующие виды\инвазивность\лещ\паразитофауна\хозяева\цестоды,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592427,Симбионты мидий литорали и верхней сублиторали губы кереть Кандалакшского залива Белого моря,"В поселении на о. Большой Горелый экстенсивность и интенсивность инвазии мидий трематодами С. parvicaudata и Himasthla sp. с глубиной падает, а турбелляриями  и трематодой Gymnophallus sp. растет. Дисперсионный анализ показал достоверное влияние глубины/горизонта литорали на экстенсивность инвазии мидий турбелляриями U. cyprinae, Paravortex sp. и двумя видами трематод. C. parvicaudata, Himasthla sp. Обнаружено влияние глубины на интенсивность инвазии мидий U. cyprinae",Mytilus edulis (Moll.)\Белое море\видовое разнообразие\инвазивность\паразитофауна\трематоды\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.07\391.19.25.31,###
B11112592451,Влияние процессов синантропизации на гельминтофауну морских птиц на примере серебристых чаек г. Мурманска,"В ходе исследования чаек обнаружено 19 видов паразитических червей, включая 10 видов трематод, 6 видов цестод и 3 вида нематод. Впервые обнаружены у морских птиц баренцевоморского региона три вида трематод Maritrema echinocirrata, Diplostomum helveticum и D. chromatophorum",Larus argentatus (Aves)\Баренцево море\Мурманск\гельминты\диагностика\морские птицы\новые находки\паразитофауна\таксономия\хозяева\чайки,e3\e4,04И9\07Д\04И11,34.33.23\34.33.27\39.19.25,341.33.23.09.15\341.33.27.19.33.21.15\391.19.25.31,###
B1111259263X,"Эндопаразитофауна ряпушки сибирской Coregonus sardinella Valenciennes, 1848 нижнего течения реки Енисей","В результате исследования ряпушки сибирской нижнего течения р. Енисея обнаружено 10 видов паразитов 4 классов. Подавляющее большинство составляют виды, промежуточными хозяевами которых являются планктонные организмы (9 видов). Выявлены возбудители таких заболеваний как язвенная болезнь лососевых (H. zschokkei), эуботриоз (E. crassum), дифиллоботриоз (D. dendriticum), триенофороз (T. crassus) и метэхиноринхоз (M. salmonis)",Иркутская область\видовое разнообразие\доминирующие виды\инвазивность\паразитофауна\промежуточные хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592702,Молекулярные аспекты взаимодействия паразит-хозяина,"Многие паразиты имеют сложный жизненный цикл, в процессе которого они меняют своих хозяев и вынуждены противостоять иммунной системе различных организмов. Для понимания эволюции паразито-хозяинных отношений в этом случае следует учитывать несколько факторов, прежде всего необходимость существования одного организма в другом. Если паразит лучше приспособлен к определенному типу иммунной системы конкретного хозяина, то в остальных случаях его существование в других организмах сопряжено с усилением его вредного действия. Иммунитет хозяина играет двоякую роль _- с одной стороны он может сдерживать рост и размножение паразита и тем самым снижать его негативное действие, с другой стороны _- иммунные реакции сами по себе достаточно сложные не только потому, что требуют больших затрат энергии, но в определенных условиях могут повреждать собственные клетки хозяина. Таким образом, вред, наносимый паразитом хозяину, будет также зависеть от типа и степени иммунных реакций хозяина и их патологических проявлений",биохимический состав\взаимодействие паразитов и их хозяев\видовая специфичность\видовое разнообразие\метаболизм,e3\e4,04И9\04Я7\36,34.33.23\39.25.15,341.33.23.11\391.25.15.17.25,###
B1111259275,Паразиты рыб в условиях техногенной трансформации водных экосистем,"Показано, что загрязнение водоема отходами горнорудной промышленности в условиях Севера приводит к резкому снижению разнообразия кишечных гельминтов рыб. Исчезают виды, находящиеся на северной периферии ареала, _- все паразиты карповых рыб, связанные своим происхождением с теплолюбивым верхнетретичным фаунистическим комплексом. Снижается разнообразие гельминтов сиговых и щуки _- типичных компонентов фауны северных олиготрофных озер. Изменяется структура разнообразия паразитов. Исчезают нематоды, личиночные стадии которых какое-то время находятся в воде, и виды трематод, использующие рыб в качестве окончательных хозяев. При минеральном загрязнении водоема сохраняются цестоды с широкой экологической валентностью (P. longicollis, T. nodulosus), жизненный цикл которых связан с веслоногими ракообразными семейства Cyclopidae. В водоеме формируются условия для стабильного цикла развития этих паразитов, определяющие их высокую численность. Сопряженность популяций паразитов и хозяев обуславливает устойчивость паразитарных систем сохранившихся видов в изменившихся внешних условиях",Карелия\абиотические факторы\взаимодействие паразитов и их хозяев\видовое разнообразие\загрязнение воды\паразиты\пищевая специализация,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.11\391.19.25.31,###
